fir_number,incident_date,incident_time,timestamp,district,police_station,crime_category,sub_category,latitude,longitude,severity_score,status,modus_operandi,suspect_id,suspect_name,gang_affiliation,estimated_loss_inr,is_cybercrime,repeat_offender
FIR-2026-HUB-1985,2026-01-24,10:47:56,2026-01-24T10:47:56.033920,Hubballi-Dharwad,Dharwad Town PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,15.403629,75.08303,4,Solved,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,360000.0,0,0
FIR-2026-BEL-1986,2026-05-22,16:39:56,2026-05-22T16:39:56.033920,Belagavi,APMC PS,Assault & Violent Crime,Group Assault,15.839903,74.524438,9,Pending,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,2700000.0,0,0
FIR-2025-MYS-1987,2025-09-17,11:40:56,2025-09-17T11:40:56.033920,Mysuru,Vidyaranyapuram PS,Cybercrime,Identity Theft,12.308885,76.712098,5,Under Investigation,Posing as Bank Executive,UNKNOWN,Unidentified Suspect,None,50000.0,1,0
FIR-2026-BAL-1988,2026-06-14,02:04:56,2026-06-14T02:04:56.033920,Ballari,Brucepet PS,Robbery & Extortion,Extortion Call,15.171586,76.946545,8,Under Investigation,Blocking highway with lorry,SUS-1008,Deepak Sharma,DarkNet Syndicate,0.0,0,1
FIR-2026-BEL-1989,2026-04-23,05:43:56,2026-04-23T05:43:56.033920,Belagavi,APMC PS,Chain Snatching & Theft,Vehicle Theft,15.804631,74.423493,5,Solved,Pillion rider snatching on Pulsar bike,UNKNOWN,Unidentified Suspect,None,450000.0,0,0
FIR-2025-MAN-1990,2025-09-09,22:12:56,2025-09-09T22:12:56.033920,Mangaluru,Urwa PS,Assault & Violent Crime,Group Assault,12.864297,74.805788,7,Pending,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,21000.0,0,0
FIR-2025-BEL-1991,2025-11-02,21:17:56,2025-11-02T21:17:56.033920,Belagavi,Khade Bazar PS,Commercial Fraud,Job Fraud,15.830065,74.518509,4,Pending,High return investment scheme,SUS-1007,Praveen Gowda,Koramangala Network,4000.0,0,1
FIR-2025-TUM-1992,2025-11-12,21:40:56,2025-11-12T21:40:56.033920,Tumakuru,Town PS Tumakuru,Narcotics,Ganja Possession,13.30528,77.101985,10,Suspect Identified,Near college campuses,UNKNOWN,Unidentified Suspect,None,100000.0,0,0
FIR-2025-MAN-1993,2025-12-17,23:42:56,2025-12-17T23:42:56.033920,Mangaluru,Barkhe PS,Commercial Fraud,Job Fraud,12.926035,74.827829,5,Pending,Fake government sanction letter,UNKNOWN,Unidentified Suspect,None,120000.0,0,0
FIR-2026-MAN-1994,2026-07-14,14:12:56,2026-07-14T14:12:56.033920,Mangaluru,Ullal PS,Assault & Violent Crime,Street Brawl,12.955909,74.805904,6,Suspect Identified,Altercation near bar/liquor shop,SUS-1005,Vikram Singh,North India Cyber Syndicate,0.0,0,1
FIR-2025-KAL-1995,2025-10-02,07:49:56,2025-10-02T07:49:56.033920,Kalaburagi,M B Nagar PS,Chain Snatching & Theft,Vehicle Theft,17.335634,76.768682,5,Pending,Master key ignition,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,15000.0,0,0
FIR-2025-BEN-1996,2025-07-25,02:16:56,2025-07-25T02:16:56.033920,Bengaluru City,Indiranagar PS,Narcotics,Ganja Possession,12.900992,77.582955,7,Suspect Identified,Near college campuses,SUS-1008,Deepak Sharma,DarkNet Syndicate,168000.0,0,0
FIR-2026-BEL-1997,2026-04-10,14:03:56,2026-04-10T14:03:56.033920,Belagavi,Camp PS,Commercial Fraud,Ponzi Scheme,15.928688,74.456806,5,Charge Sheeted,Fake visa offer,UNKNOWN,Unidentified Suspect,None,1500000.0,0,0
FIR-2025-BEL-1998,2025-11-05,20:50:56,2025-11-05T20:50:56.033920,Belagavi,Camp PS,Robbery & Extortion,Extortion Call,15.928835,74.462332,10,Suspect Identified,Posing as local gang member,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,100000.0,0,1
FIR-2026-TUM-1999,2026-04-22,20:58:56,2026-04-22T20:58:56.033920,Tumakuru,Kyathsandra PS,Robbery & Extortion,Extortion Call,13.319511,77.089295,10,Solved,Blocking highway with lorry,UNKNOWN,Unidentified Suspect,None,3000000.0,0,0
FIR-2026-KAL-2000,2026-06-30,15:50:56,2026-06-30T15:50:56.033920,Kalaburagi,Chowk PS,Cybercrime,Phishing / OTP Fraud,17.262206,76.880022,7,Charge Sheeted,Phishing Site,UNKNOWN,Unidentified Suspect,None,7000.0,1,0
FIR-2026-MYS-2001,2026-06-16,03:40:56,2026-06-16T03:40:56.033920,Mysuru,Devaraja PS,Commercial Fraud,Job Fraud,12.262425,76.648792,6,Suspect Identified,High return investment scheme,UNKNOWN,Unidentified Suspect,None,144000.0,0,0
FIR-2025-MAN-2002,2025-09-12,07:07:56,2025-09-12T07:07:56.033920,Mangaluru,Pandeshwar PS,Cybercrime,Phishing / OTP Fraud,12.916075,74.883576,8,Suspect Identified,Malware Link via WhatsApp,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,720000.0,1,1
FIR-2026-MAN-2003,2026-06-26,13:39:56,2026-06-26T13:39:56.033920,Mangaluru,Ullal PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,12.9676,74.897268,4,Charge Sheeted,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2025-BAL-2004,2025-11-11,02:52:56,2025-11-11T02:52:56.033920,Ballari,Gandhinagar PS,Commercial Fraud,Ponzi Scheme,15.161215,76.892937,8,Suspect Identified,High return investment scheme,UNKNOWN,Unidentified Suspect,None,2400000.0,0,0
FIR-2026-KAL-2005,2026-01-27,08:12:56,2026-01-27T08:12:56.033920,Kalaburagi,Chowk PS,Cybercrime,Crypto Scam,17.27805,76.900277,8,Under Investigation,Malware Link via WhatsApp,UNKNOWN,Unidentified Suspect,None,24000.0,1,0
FIR-2026-HUB-2006,2026-03-14,06:24:56,2026-03-14T06:24:56.033920,Hubballi-Dharwad,Dharwad Town PS,Assault & Violent Crime,Group Assault,15.433507,75.047644,8,Solved,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,8000.0,0,0
FIR-2026-MYS-2007,2026-06-12,00:42:56,2026-06-12T00:42:56.033920,Mysuru,Kuuvempunagar PS,Cybercrime,Crypto Scam,12.235024,76.57462,8,Under Investigation,Phishing Site,SUS-1003,Manjunath V,Koramangala Network,8000.0,1,1
FIR-2025-KAL-2008,2025-07-27,09:31:56,2025-07-27T09:31:56.033920,Kalaburagi,M B Nagar PS,Narcotics,Ganja Possession,17.340786,76.831655,8,Suspect Identified,Courier shipment concealed in electronics,SUS-1008,Deepak Sharma,DarkNet Syndicate,80000.0,0,1
FIR-2025-BAL-2009,2025-07-21,19:29:56,2025-07-21T19:29:56.033920,Ballari,Gandhinagar PS,Commercial Fraud,Job Fraud,15.192468,76.869635,7,Pending,Fake visa offer,SUS-1006,Anil 'Snake' Shetty,Coastal Smugglers,0.0,0,1
FIR-2025-BEL-2010,2025-09-03,08:52:56,2025-09-03T08:52:56.033920,Belagavi,APMC PS,Narcotics,Inter-State Drug Trafficking,15.81983,74.426448,9,Charge Sheeted,Near college campuses,SUS-1004,Kiran @ Shadow,MG Road Gang,90000.0,0,1
FIR-2025-MAN-2011,2025-12-02,17:40:56,2025-12-02T17:40:56.033920,Mangaluru,Barkhe PS,Cybercrime,Phishing / OTP Fraud,12.939996,74.912726,6,Solved,Malware Link via WhatsApp,SUS-1008,Deepak Sharma,DarkNet Syndicate,540000.0,1,1
FIR-2025-MYS-2012,2025-08-12,10:18:56,2025-08-12T10:18:56.033920,Mysuru,Nazarbad PS,Assault & Violent Crime,Group Assault,12.309809,76.598786,5,Suspect Identified,Pre-meditated attack,SUS-1008,Deepak Sharma,DarkNet Syndicate,120000.0,0,0
FIR-2025-BAL-2013,2025-10-20,14:39:56,2025-10-20T14:39:56.033920,Ballari,Brucepet PS,Commercial Fraud,Real Estate Scam,15.156609,76.859356,5,Under Investigation,Fake government sanction letter,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,5000.0,0,1
FIR-2026-BEN-2014,2026-01-14,16:07:56,2026-01-14T16:07:56.033920,Bengaluru City,Koramangala PS,Robbery & Extortion,Extortion Call,13.042218,77.478278,7,Pending,Blocking highway with lorry,UNKNOWN,Unidentified Suspect,None,168000.0,0,0
FIR-2025-KAL-2015,2025-09-03,05:50:56,2025-09-03T05:50:56.033920,Kalaburagi,Brahampur PS,Cybercrime,Crypto Scam,17.281596,76.84597,5,Solved,Phishing Site,UNKNOWN,Unidentified Suspect,None,50000.0,1,0
FIR-2025-BEN-2016,2025-11-30,16:38:56,2025-11-30T16:38:56.033920,Bengaluru City,Jayanagar PS,Assault & Violent Crime,Street Brawl,12.923331,77.580502,8,Pending,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,24000.0,0,0
FIR-2025-KAL-2017,2025-07-25,01:05:56,2025-07-25T01:05:56.033920,Kalaburagi,Station Bazar PS,Chain Snatching & Theft,Vehicle Theft,17.268829,76.78317,4,Under Investigation,Pillion rider snatching on Pulsar bike,UNKNOWN,Unidentified Suspect,None,360000.0,0,0
FIR-2026-BAL-2018,2026-03-18,05:56:56,2026-03-18T05:56:56.033920,Ballari,Cowled Bazar PS,Cybercrime,Financial Fraud,15.109023,76.864856,7,Under Investigation,Malware Link via WhatsApp,UNKNOWN,Unidentified Suspect,None,21000.0,1,0
FIR-2025-HUB-2019,2025-11-17,16:05:56,2025-11-17T16:05:56.033920,Hubballi-Dharwad,Vidyanagar PS,Assault & Violent Crime,Grievous Hurt,15.400697,75.157011,5,Pending,Group clash over property dispute,UNKNOWN,Unidentified Suspect,None,120000.0,0,0
FIR-2025-HUB-2020,2025-11-13,01:31:56,2025-11-13T01:31:56.033920,Hubballi-Dharwad,Suburban PS Hubballi,Assault & Violent Crime,Group Assault,15.342375,75.117497,7,Suspect Identified,Altercation near bar/liquor shop,SUS-1006,Anil 'Snake' Shetty,Coastal Smugglers,630000.0,0,1
FIR-2026-MYS-2021,2026-05-19,12:49:56,2026-05-19T12:49:56.033920,Mysuru,Devaraja PS,Robbery & Extortion,Highway Dacoity,12.363906,76.567134,7,Charge Sheeted,Sharp weapon threat at night,UNKNOWN,Unidentified Suspect,None,7000.0,0,0
FIR-2025-BAL-2022,2025-09-21,22:26:56,2025-09-21T22:26:56.033920,Ballari,Cowled Bazar PS,Assault & Violent Crime,Street Brawl,15.16556,76.855972,5,Suspect Identified,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,1500000.0,0,0
FIR-2026-BAL-2023,2026-06-14,20:03:56,2026-06-14T20:03:56.033920,Ballari,Gandhinagar PS,Narcotics,Ganja Possession,15.090873,76.934161,7,Pending,Darkweb ordering + Dead drop,UNKNOWN,Unidentified Suspect,None,70000.0,0,0
FIR-2026-BEN-2024,2026-01-15,19:35:56,2026-01-15T19:35:56.033920,Bengaluru City,Koramangala PS,Robbery & Extortion,Highway Dacoity,13.032027,77.529998,8,Charge Sheeted,Blocking highway with lorry,SUS-1004,Kiran @ Shadow,MG Road Gang,8000.0,0,1
FIR-2025-KAL-2025,2025-12-03,20:43:56,2025-12-03T20:43:56.033920,Kalaburagi,Station Bazar PS,Narcotics,Ganja Possession,17.321827,76.850918,8,Under Investigation,Darkweb ordering + Dead drop,SUS-1004,Kiran @ Shadow,MG Road Gang,192000.0,0,1
FIR-2026-BAL-2026,2026-06-03,22:38:56,2026-06-03T22:38:56.033920,Ballari,Brucepet PS,Chain Snatching & Theft,Vehicle Theft,15.156727,76.853122,4,Pending,Unlocked house entry at night,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,4000.0,0,1
FIR-2026-MYS-2027,2026-01-25,07:18:56,2026-01-25T07:18:56.033920,Mysuru,Nazarbad PS,Narcotics,Ganja Possession,12.295999,76.569659,10,Solved,Courier shipment concealed in electronics,SUS-1010,Suresh 'Fast' Reddy,MG Road Gang,3000000.0,0,1
FIR-2025-BAL-2028,2025-10-12,04:10:56,2025-10-12T04:10:56.033920,Ballari,Gandhinagar PS,Commercial Fraud,Real Estate Scam,15.097528,76.910822,4,Pending,Fake visa offer,UNKNOWN,Unidentified Suspect,None,12000.0,0,0
FIR-2026-MAN-2029,2026-07-12,13:34:56,2026-07-12T13:34:56.033920,Mangaluru,Kadri PS,Robbery & Extortion,Highway Dacoity,12.916753,74.893514,7,Suspect Identified,Sharp weapon threat at night,SUS-1001,Ramesh 'Blade' Kumar,MG Road Gang,21000.0,0,1
FIR-2026-TUM-2030,2026-05-13,09:00:56,2026-05-13T09:00:56.033920,Tumakuru,Kyathsandra PS,Assault & Violent Crime,Grievous Hurt,13.380187,77.072367,6,Under Investigation,Group clash over property dispute,SUS-1009,Farooq Ahmed,Coastal Smugglers,0.0,0,1
FIR-2026-MYS-2031,2026-01-15,00:15:56,2026-01-15T00:15:56.033920,Mysuru,Kuuvempunagar PS,Commercial Fraud,Real Estate Scam,12.242362,76.675949,7,Pending,High return investment scheme,SUS-1009,Farooq Ahmed,Coastal Smugglers,630000.0,0,1
FIR-2026-HUB-2032,2026-06-10,11:11:56,2026-06-10T11:11:56.033920,Hubballi-Dharwad,Dharwad Town PS,Assault & Violent Crime,Group Assault,15.449214,75.132472,6,Solved,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,18000.0,0,0
FIR-2025-KAL-2033,2025-12-16,03:04:56,2025-12-16T03:04:56.033920,Kalaburagi,Station Bazar PS,Assault & Violent Crime,Grievous Hurt,17.260058,76.762104,7,Pending,Altercation near bar/liquor shop,SUS-1004,Kiran @ Shadow,MG Road Gang,0.0,0,0
FIR-2026-HUB-2034,2026-06-07,03:54:56,2026-06-07T03:54:56.033920,Hubballi-Dharwad,Vidyanagar PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,15.337363,75.089258,3,Under Investigation,Pillion rider snatching on Pulsar bike,SUS-1005,Vikram Singh,North India Cyber Syndicate,9000.0,0,1
FIR-2025-BEL-2035,2025-10-16,23:44:56,2025-10-16T23:44:56.033920,Belagavi,APMC PS,Chain Snatching & Theft,Mobile Theft,15.908359,74.495092,7,Under Investigation,Master key ignition,SUS-1007,Praveen Gowda,Koramangala Network,70000.0,0,0
FIR-2026-BAL-2036,2026-05-08,00:50:56,2026-05-08T00:50:56.033920,Ballari,Cowled Bazar PS,Commercial Fraud,Ponzi Scheme,15.137821,76.949278,5,Suspect Identified,High return investment scheme,SUS-1003,Manjunath V,Koramangala Network,5000.0,0,0
FIR-2026-KAL-2037,2026-06-07,19:06:56,2026-06-07T19:06:56.033920,Kalaburagi,M B Nagar PS,Chain Snatching & Theft,Vehicle Theft,17.29788,76.837157,6,Charge Sheeted,Master key ignition,UNKNOWN,Unidentified Suspect,None,6000.0,0,0
FIR-2025-BEN-2038,2025-10-06,12:01:56,2025-10-06T12:01:56.033920,Bengaluru City,Cubbon Park PS,Chain Snatching & Theft,House Burglary,12.976772,77.464824,4,Charge Sheeted,Pillion rider snatching on Pulsar bike,SUS-1006,Anil 'Snake' Shetty,Coastal Smugglers,96000.0,0,0
FIR-2025-MAN-2039,2025-12-09,11:33:56,2025-12-09T11:33:56.033920,Mangaluru,Pandeshwar PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,12.968986,74.797755,5,Under Investigation,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2025-HUB-2040,2025-09-14,17:01:56,2025-09-14T17:01:56.033920,Hubballi-Dharwad,Vidyanagar PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,15.451203,75.154205,5,Pending,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,120000.0,0,0
FIR-2025-BEN-2041,2025-08-23,07:29:56,2025-08-23T07:29:56.033920,Bengaluru City,Whitefield PS,Assault & Violent Crime,Group Assault,12.93803,77.633115,6,Suspect Identified,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,18000.0,0,0
FIR-2026-MAN-2042,2026-02-01,01:29:56,2026-02-01T01:29:56.033920,Mangaluru,Kadri PS,Assault & Violent Crime,Group Assault,12.946443,74.801122,6,Charge Sheeted,Group clash over property dispute,UNKNOWN,Unidentified Suspect,None,18000.0,0,0
FIR-2025-BEL-2043,2025-12-09,03:02:56,2025-12-09T03:02:56.033920,Belagavi,Camp PS,Narcotics,Inter-State Drug Trafficking,15.789739,74.546172,6,Pending,Near college campuses,UNKNOWN,Unidentified Suspect,None,540000.0,0,0
FIR-2025-MYS-2044,2025-09-06,02:44:56,2025-09-06T02:44:56.033920,Mysuru,Nazarbad PS,Commercial Fraud,Job Fraud,12.339153,76.697303,4,Charge Sheeted,High return investment scheme,SUS-1003,Manjunath V,Koramangala Network,360000.0,0,1
FIR-2026-BAL-2045,2026-06-05,00:25:56,2026-06-05T00:25:56.033920,Ballari,Cowled Bazar PS,Robbery & Extortion,Armed Robbery,15.128714,76.936679,10,Charge Sheeted,Blocking highway with lorry,UNKNOWN,Unidentified Suspect,None,100000.0,0,0
FIR-2025-KAL-2046,2025-07-30,19:53:56,2025-07-30T19:53:56.033920,Kalaburagi,Station Bazar PS,Assault & Violent Crime,Grievous Hurt,17.264766,76.877523,8,Solved,Altercation near bar/liquor shop,SUS-1006,Anil 'Snake' Shetty,Coastal Smugglers,80000.0,0,1
FIR-2025-MAN-2047,2025-08-11,03:33:56,2025-08-11T03:33:56.033920,Mangaluru,Urwa PS,Assault & Violent Crime,Street Brawl,12.919559,74.920942,5,Suspect Identified,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,0.0,0,0
FIR-2026-BEN-2048,2026-02-19,11:13:56,2026-02-19T11:13:56.033920,Bengaluru City,Whitefield PS,Cybercrime,Financial Fraud,13.104437,77.485552,8,Under Investigation,Phishing Site,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,24000.0,1,1
FIR-2025-TUM-2049,2025-12-22,09:30:56,2025-12-22T09:30:56.033920,Tumakuru,New Extension PS,Assault & Violent Crime,Group Assault,13.283403,77.067956,8,Charge Sheeted,Group clash over property dispute,UNKNOWN,Unidentified Suspect,None,192000.0,0,0
FIR-2026-TUM-2050,2026-07-15,04:33:56,2026-07-15T04:33:56.033920,Tumakuru,Kyathsandra PS,Narcotics,MDMA / Synthetic Drugs,13.304768,77.140901,6,Suspect Identified,Darkweb ordering + Dead drop,UNKNOWN,Unidentified Suspect,None,60000.0,0,0
FIR-2026-BEN-2051,2026-05-12,15:12:56,2026-05-12T15:12:56.033920,Bengaluru City,Jayanagar PS,Narcotics,Inter-State Drug Trafficking,12.9788,77.47553,9,Solved,Near college campuses,UNKNOWN,Unidentified Suspect,None,9000.0,0,0
FIR-2026-KAL-2052,2026-06-24,00:54:56,2026-06-24T00:54:56.033920,Kalaburagi,M B Nagar PS,Robbery & Extortion,Armed Robbery,17.362885,76.877486,7,Under Investigation,Sharp weapon threat at night,SUS-1005,Vikram Singh,North India Cyber Syndicate,21000.0,0,0
FIR-2026-MYS-2053,2026-05-26,23:39:56,2026-05-26T23:39:56.033920,Mysuru,Kuuvempunagar PS,Narcotics,Inter-State Drug Trafficking,12.261039,76.573228,9,Solved,Darkweb ordering + Dead drop,UNKNOWN,Unidentified Suspect,None,810000.0,0,0
FIR-2026-BAL-2054,2026-01-05,02:10:56,2026-01-05T02:10:56.033920,Ballari,Brucepet PS,Chain Snatching & Theft,Two-Wheeler Chain Snatching,15.090807,76.918638,3,Suspect Identified,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,30000.0,0,0
FIR-2025-MAN-2055,2025-08-20,12:22:56,2025-08-20T12:22:56.033920,Mangaluru,Ullal PS,Cybercrime,Sextortion,12.959613,74.828003,5,Pending,Phishing Site,SUS-1005,Vikram Singh,North India Cyber Syndicate,5000.0,1,1
FIR-2025-TUM-2056,2025-12-23,01:57:56,2025-12-23T01:57:56.033920,Tumakuru,New Extension PS,Assault & Violent Crime,Group Assault,13.294941,77.105702,8,Charge Sheeted,Altercation near bar/liquor shop,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,0.0,0,1
FIR-2025-BEN-2057,2025-07-26,09:33:56,2025-07-26T09:33:56.033920,Bengaluru City,Jayanagar PS,Narcotics,Ganja Possession,12.991441,77.712545,9,Charge Sheeted,Courier shipment concealed in electronics,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,216000.0,0,1
FIR-2026-TUM-2058,2026-06-26,16:54:56,2026-06-26T16:54:56.033920,Tumakuru,Town PS Tumakuru,Narcotics,Inter-State Drug Trafficking,13.365969,77.103611,10,Charge Sheeted,Darkweb ordering + Dead drop,SUS-1008,Deepak Sharma,DarkNet Syndicate,30000.0,0,1
FIR-2025-TUM-2059,2025-09-15,21:22:56,2025-09-15T21:22:56.033920,Tumakuru,Kyathsandra PS,Robbery & Extortion,Highway Dacoity,13.386135,77.136108,10,Charge Sheeted,Posing as local gang member,UNKNOWN,Unidentified Suspect,None,900000.0,0,0
FIR-2026-KAL-2060,2026-04-29,16:47:56,2026-04-29T16:47:56.033920,Kalaburagi,Brahampur PS,Narcotics,Inter-State Drug Trafficking,17.256924,76.800552,9,Under Investigation,Courier shipment concealed in electronics,UNKNOWN,Unidentified Suspect,None,90000.0,0,0
FIR-2026-HUB-2061,2026-05-16,16:44:56,2026-05-16T16:44:56.033920,Hubballi-Dharwad,Dharwad Town PS,Robbery & Extortion,Extortion Call,15.343726,75.192929,7,Charge Sheeted,Sharp weapon threat at night,SUS-1008,Deepak Sharma,DarkNet Syndicate,168000.0,0,1
FIR-2025-HUB-2062,2025-07-25,05:10:56,2025-07-25T05:10:56.033920,Hubballi-Dharwad,Bendigeri PS,Narcotics,Ganja Possession,15.392811,75.199125,8,Under Investigation,Darkweb ordering + Dead drop,UNKNOWN,Unidentified Suspect,None,2400000.0,0,0
FIR-2026-KAL-2063,2026-05-09,03:01:56,2026-05-09T03:01:56.033920,Kalaburagi,M B Nagar PS,Narcotics,Inter-State Drug Trafficking,17.388854,76.900512,6,Pending,Courier shipment concealed in electronics,UNKNOWN,Unidentified Suspect,None,540000.0,0,0
FIR-2025-KAL-2064,2025-08-17,19:59:56,2025-08-17T19:59:56.033920,Kalaburagi,M B Nagar PS,Commercial Fraud,Job Fraud,17.393224,76.770596,6,Pending,Fake visa offer,UNKNOWN,Unidentified Suspect,None,60000.0,0,0
FIR-2026-TUM-2065,2026-03-05,03:33:56,2026-03-05T03:33:56.033920,Tumakuru,Kyathsandra PS,Chain Snatching & Theft,House Burglary,13.357552,77.048109,6,Solved,Unlocked house entry at night,UNKNOWN,Unidentified Suspect,None,144000.0,0,0
FIR-2026-BAL-2066,2026-04-27,10:54:56,2026-04-27T10:54:56.033920,Ballari,Cowled Bazar PS,Narcotics,MDMA / Synthetic Drugs,15.184102,76.94263,9,Pending,Courier shipment concealed in electronics,SUS-1003,Manjunath V,Koramangala Network,27000.0,0,0
FIR-2025-BAL-2067,2025-07-26,01:50:56,2025-07-26T01:50:56.033920,Ballari,Brucepet PS,Chain Snatching & Theft,House Burglary,15.187007,76.859618,5,Suspect Identified,Pillion rider snatching on Pulsar bike,SUS-1003,Manjunath V,Koramangala Network,50000.0,0,1
FIR-2025-KAL-2068,2025-09-05,09:31:56,2025-09-05T09:31:56.033920,Kalaburagi,Brahampur PS,Robbery & Extortion,Armed Robbery,17.378607,76.854705,8,Solved,Blocking highway with lorry,UNKNOWN,Unidentified Suspect,None,2400000.0,0,0
FIR-2026-KAL-2069,2026-01-29,09:13:56,2026-01-29T09:13:56.033920,Kalaburagi,Station Bazar PS,Robbery & Extortion,Armed Robbery,17.358784,76.883294,8,Pending,Blocking highway with lorry,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,24000.0,0,1
FIR-2025-BAL-2070,2025-12-12,13:59:56,2025-12-12T13:59:56.033920,Ballari,Cowled Bazar PS,Narcotics,MDMA / Synthetic Drugs,15.115225,76.905307,6,Charge Sheeted,Courier shipment concealed in electronics,SUS-1008,Deepak Sharma,DarkNet Syndicate,18000.0,0,1
FIR-2025-HUB-2071,2025-11-26,20:03:56,2025-11-26T20:03:56.033920,Hubballi-Dharwad,Suburban PS Hubballi,Narcotics,Ganja Possession,15.315521,75.036106,6,Charge Sheeted,Darkweb ordering + Dead drop,SUS-1004,Kiran @ Shadow,MG Road Gang,540000.0,0,0
FIR-2025-BEL-2072,2025-12-22,05:41:56,2025-12-22T05:41:56.033920,Belagavi,Camp PS,Narcotics,MDMA / Synthetic Drugs,15.820527,74.462158,6,Solved,Near college campuses,UNKNOWN,Unidentified Suspect,None,144000.0,0,0
FIR-2025-BEL-2073,2025-09-01,01:37:56,2025-09-01T01:37:56.033920,Belagavi,APMC PS,Robbery & Extortion,Extortion Call,15.909559,74.528636,9,Solved,Posing as local gang member,SUS-1008,Deepak Sharma,DarkNet Syndicate,9000.0,0,0
FIR-2026-KAL-2074,2026-05-30,00:48:56,2026-05-30T00:48:56.033920,Kalaburagi,Station Bazar PS,Cybercrime,Identity Theft,17.370898,76.781941,4,Pending,Posing as Bank Executive,SUS-1009,Farooq Ahmed,Coastal Smugglers,360000.0,1,1
FIR-2025-BEN-2075,2025-08-28,14:33:56,2025-08-28T14:33:56.033920,Bengaluru City,Whitefield PS,Assault & Violent Crime,Group Assault,13.088054,77.591435,9,Solved,Altercation near bar/liquor shop,UNKNOWN,Unidentified Suspect,None,9000.0,0,0
FIR-2025-MYS-2076,2025-12-21,14:05:56,2025-12-21T14:05:56.033920,Mysuru,Vidyaranyapuram PS,Robbery & Extortion,Armed Robbery,12.308354,76.591188,7,Under Investigation,Sharp weapon threat at night,UNKNOWN,Unidentified Suspect,None,630000.0,0,0
FIR-2026-MYS-2077,2026-03-31,08:34:56,2026-03-31T08:34:56.033920,Mysuru,Lashkar PS,Narcotics,Ganja Possession,12.317334,76.67159,10,Suspect Identified,Darkweb ordering + Dead drop,UNKNOWN,Unidentified Suspect,None,3000000.0,0,0
FIR-2026-KAL-2078,2026-03-15,11:43:56,2026-03-15T11:43:56.033920,Kalaburagi,Chowk PS,Chain Snatching & Theft,Vehicle Theft,17.300224,76.809548,7,Pending,Master key ignition,UNKNOWN,Unidentified Suspect,None,70000.0,0,0
FIR-2026-MYS-2079,2026-07-18,02:24:56,2026-07-18T02:24:56.033920,Mysuru,Vidyaranyapuram PS,Narcotics,Ganja Possession,12.22192,76.716482,10,Solved,Courier shipment concealed in electronics,SUS-1004,Kiran @ Shadow,MG Road Gang,3000000.0,0,0
FIR-2026-TUM-2080,2026-06-15,16:05:56,2026-06-15T16:05:56.033920,Tumakuru,Town PS Tumakuru,Narcotics,MDMA / Synthetic Drugs,13.298844,77.095121,9,Solved,Near college campuses,UNKNOWN,Unidentified Suspect,None,90000.0,0,0
FIR-2025-HUB-2081,2025-09-28,16:06:56,2025-09-28T16:06:56.033920,Hubballi-Dharwad,Bendigeri PS,Assault & Violent Crime,Group Assault,15.400448,75.133889,6,Under Investigation,Pre-meditated attack,UNKNOWN,Unidentified Suspect,None,144000.0,0,0
FIR-2026-TUM-2082,2026-06-30,20:22:56,2026-06-30T20:22:56.033920,Tumakuru,Kyathsandra PS,Robbery & Extortion,Highway Dacoity,13.359333,77.050436,7,Charge Sheeted,Sharp weapon threat at night,UNKNOWN,Unidentified Suspect,None,2100000.0,0,0
FIR-2025-BEN-2083,2025-08-14,07:05:56,2025-08-14T07:05:56.033920,Bengaluru City,Electronic City PS,Chain Snatching & Theft,House Burglary,13.090962,77.570388,4,Suspect Identified,Unlocked house entry at night,SUS-1002,Syed 'Crypto' Imran,DarkNet Syndicate,96000.0,0,1
